[2012-10-03 21:28:14,490 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:28:16,981 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:29:17,922 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:29:58,977 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:30:33,373 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:31:46,837 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:39:51,296 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:41:21,915 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:43:48,619 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:44:24,967 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:44:47,178 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:49:13,578 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:49:17,753 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:49:17,788 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:52:45,993 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:52:46,028 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:53:29,914 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:53:30,093 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:54:10,329 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:54:10,358 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:57:37,590 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:57:37,618 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:58:40,099 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:58:40,127 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 21:58:46,273 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 22:01:02,499 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 22:09:02,334 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 22:09:06,386 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 22:09:06,418 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 22:09:24,081 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 22:09:24,108 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 22:09:54,276 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 22:09:54,298 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 22:10:48,304 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 22:31:04,819 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 22:31:04,848 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:17:53,488 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:17:53,506 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:19:52,791 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:20:34,690 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:27:40,787 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:27:43,043 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:27:46,103 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:27:48,667 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:28:50,021 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:28:52,269 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:28:54,486 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:28:57,814 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:29:00,012 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:29:33,566 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:29:35,331 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:29:38,194 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:29:44,689 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:29:52,395 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:29:55,879 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:30:08,120 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-03 23:30:51,453 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:08:57,217 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:08:57,298 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:11:38,846 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:11:43,918 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:11:46,942 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:12:05,297 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:14:22,720 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:14:41,032 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:14:44,418 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:14:48,229 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:14:48,302 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:14:56,321 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:14:56,364 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:15:17,508 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:15:17,557 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:15:24,520 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:15:24,580 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:17:36,449 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:17:36,646 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:19:39,675 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:19:39,695 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:21:33,715 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:21:33,818 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:21:43,079 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:21:45,962 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:21:48,566 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 03:21:51,904 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 11:02:06,971 django.request WARNING] base: Not Found: /favicon.ico
[2012-10-04 11:02:07,049 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 11:11:38,923 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 11:11:42,020 django.request WARNING] base: Not Found: /favicon.ico
[2012-10-04 11:11:42,033 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 11:11:46,251 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 11:11:46,270 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 11:11:49,760 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 11:12:12,574 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 11:13:17,976 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 11:13:28,909 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-04 11:13:28,940 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-06 21:41:08,353 django.request WARNING] base: Not Found: /favicon.ico
[2012-10-06 21:41:08,430 django.request WARNING] base: Not Found: /favicon.ico/
[2012-10-06 21:41:11,717 django.request WARNING] base: Not Found: /favicon.ico
